company_id,type,rule_id,text,confidence_score
BHEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
BHEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
BOSCHLTD,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
BOSCHLTD,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
BOSCHLTD,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
BOSCHLTD,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
BPCL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
BPCL,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
BRITANNIA,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
BRITANNIA,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
CANBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
CANBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
CANBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
CANBK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,80
CANBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
CANBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
CANBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
CANBK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
CANBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
CHOLAFIN,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
CHOLAFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
CHOLAFIN,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
CHOLAFIN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
CHOLAFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
CIPLA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
CIPLA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
CIPLA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
COALINDIA,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
COALINDIA,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
COALINDIA,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
DABUR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
DABUR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
DIVISLAB,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
DIVISLAB,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
DIVISLAB,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,85
DLF,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
DLF,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
DLF,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
DMART,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
DMART,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
DRREDDY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
DRREDDY,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
DRREDDY,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
EICHERMOT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
EICHERMOT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
EICHERMOT,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
GAIL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
GAIL,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
GODREJCP,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
GODREJCP,con,C4,Company reported a net loss in the most recent financial year.,70
GODREJCP,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
GRASIM,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
GRASIM,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
GRASIM,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,85
HAL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
HAL,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
HAVELLS,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
HAVELLS,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
HCLTECH,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
HCLTECH,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
HCLTECH,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
HDFCBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
HDFCBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
HDFCBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
HDFCBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,80
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
HDFCBANK,con,C6,Interest coverage ratio below 1.5 indicates the company is at risk of not meeting debt obligations.,80
HDFCBANK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
HDFCBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
HDFCLIFE,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
HDFCLIFE,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
HEROMOTOCO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
HEROMOTOCO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
HEROMOTOCO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
HINDALCO,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
HINDALCO,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
HINDUNILVR,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
HINDUNILVR,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
ICICIBANK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
ICICIBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
ICICIBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
ICICIBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,80
ICICIBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
ICICIBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
ICICIBANK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
ICICIBANK,con,C6,Interest coverage ratio below 1.5 indicates the company is at risk of not meeting debt obligations.,80
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ICICIGI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
ICICIGI,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,70
ICICIGI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
ICICIGI,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
ICICIPRULI,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,70
ICICIPRULI,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
ICICIPRULI,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
INDIGO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
INDIGO,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
INDIGO,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
INDIGO,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
INDUSINDBK,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
INDUSINDBK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
INDUSINDBK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
INDUSINDBK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
INDUSINDBK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
INDUSINDBK,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
INDUSINDBK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
INDUSINDBK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
INFY,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
INFY,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
IOC,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
IOC,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
IRCTC,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
IRCTC,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
IRFC,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
IRFC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ITC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
ITC,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
JINDALSTEL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
JINDALSTEL,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
JIOFIN,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,70
JIOFIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
JIOFIN,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
JSWENERGY,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
JSWENERGY,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
JSWSTEEL,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
JSWSTEEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
KOTAKBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline.,80
KOTAKBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
KOTAKBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
KOTAKBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
KOTAKBANK,con,C6,Interest coverage ratio below 1.5 indicates the company is at risk of not meeting debt obligations.,80
KOTAKBANK,con,C10,Return on capital employed below 10% suggests the business is not generating efficient returns on invested capital.,80
KOTAKBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
LICI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
LICI,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
LODHA,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
LODHA,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
LT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
LT,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
LT,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
LTIM,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
LTIM,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
LTIM,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
M&M,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
M&M,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
M&M,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
MARUTI,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
MARUTI,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
MARUTI,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
MOTHERSON,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
MOTHERSON,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
MOTHERSON,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
NAUKRI,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
NAUKRI,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
NESTLEIND,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
NESTLEIND,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
NHPC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
NHPC,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
NHPC,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
NHPC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
NTPC,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
NTPC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
ONGC,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
ONGC,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
PFC,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
PFC,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
PIDILITIND,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
PIDILITIND,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
PNB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,85
PNB,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,80
PNB,con,C6,Interest coverage ratio below 1.5 indicates the company is at risk of not meeting debt obligations.,80
POWERGRID,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
POWERGRID,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
RECLTD,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
RECLTD,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
RECLTD,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
RELIANCE,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
RELIANCE,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
SBILIFE,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,70
SBILIFE,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
SBILIFE,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
SBIN,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,70
SBIN,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value.,80
SBIN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
SBIN,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
SBIN,con,C6,Interest coverage ratio below 1.5 indicates the company is at risk of not meeting debt obligations.,80
SHREECEM,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
SHREECEM,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
SHRIRAMFIN,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
SHRIRAMFIN,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
SHRIRAMFIN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
SIEMENS,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,70
SIEMENS,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow.,80
SIEMENS,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,80
SIEMENS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
SIEMENS,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
SUNPHARMA,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
SUNPHARMA,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
TATACONSUM,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
TATACONSUM,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
TATAMOTORS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TATAMOTORS,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth.,85
TATAMOTORS,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
TATAPOWER,pro,NO_PRO_SIGNAL,No configured positive rule was triggered by the available financial data.,61
TATAPOWER,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
TATASTEEL,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
TATASTEEL,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
TATASTEEL,con,C4,Company reported a net loss in the most recent financial year.,70
TATASTEEL,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
TATASTEEL,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
TATASTEEL,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,85
TATASTEEL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
TCS,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
TCS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TCS,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
TECHM,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
TECHM,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
TECHM,con,C5,Revenue contraction over 2 consecutive years indicates demand weakness or market-share loss.,85
TECHM,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability.,85
TITAN,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TITAN,con,C1,Debt-to-equity ratio above 2 is elevated for a non-financial company and warrants monitoring.,80
TITAN,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk.,85
TITAN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility.,80
TORNTPHARM,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals.,85
TORNTPHARM,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TORNTPHARM,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
TRENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TRENT,con,NO_CON_SIGNAL,No configured adverse rule was triggered by the available financial data.,61
TVSMOTOR,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality.,85
TVSMOTOR,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,85
